header,true_label,true_binary,v3_bin_pred,v3_bin_conf,v3_sf_pred,v3_sf_conf,v4_bin_pred,v4_bin_conf,v4_sf_pred,v4_sf_conf,seq_length,modeled_sf,binary_eval,v3_bin_correct,v4_bin_correct,both_bin_correct,both_bin_wrong,v3_sf_correct,v4_sf_correct,both_sf_wrong
hAT_139-fNanAnt#DNA/hAT,None,0,1,0.9945663,DNA/hAT,0.78908944,1,0.9758246,DNA/TcMar-Tc1,0.6018757,1382,False,True,False,False,False,True,True,True,False
hAT_78-aGasCar#DNA/hAT,None,0,1,0.9943989,DNA/hAT,0.6624401,1,0.8212111,DNA/hAT,0.9159884,11952,False,True,False,False,False,True,True,True,False
hAT_280-aMixFle#DNA/hAT,None,0,1,0.994191,DNA/hAT,0.7218058,1,0.98421174,DNA/hAT,0.91695803,7456,False,True,False,False,False,True,True,True,False
TcMar-Tc1_21-aBomBom#DNA/TcMar-Tc1,None,0,1,0.9941784,DNA/TcMar-Tc1,0.7947568,1,0.99991035,DNA/TcMar-Tc1,0.91767114,1540,False,True,False,False,False,True,True,True,False
PiggyBac_41-aPelLes#DNA/PiggyBac,None,0,1,0.9939182,DNA/PiggyBac,0.8932275,1,0.9987257,DNA/PiggyBac,0.9107023,8956,False,True,False,False,False,True,True,True,False
TcMar-Tc1_80-fCorLav#DNA/TcMar-Tc1,None,0,1,0.993901,DNA/TcMar-Tc1,0.8039237,1,0.99988246,DNA/TcMar-Tc1,0.9203012,1576,False,True,False,False,False,True,True,True,False
hAT_75-aGasCar#DNA/hAT,None,0,1,0.9936329,DNA/hAT,0.73060066,1,0.90449715,DNA/hAT,0.9259112,12090,False,True,False,False,False,True,True,True,False
Academ-1_170-kMyxGlu#DNA/Academ-1,None,0,1,0.9932679,DNA/Academ-1,0.85592043,1,0.99999845,DNA/Academ-1,0.92679226,4635,False,True,False,False,False,True,True,True,False
hAT_5-aSpeBom#DNA/hAT,None,0,1,0.9931299,DNA/hAT,0.73574936,1,0.9999591,DNA/hAT,0.9228162,11111,False,True,False,False,False,True,True,True,False
hAT_126-aGasCar#DNA/hAT,None,0,1,0.99307245,DNA/hAT,0.7181143,1,0.86571306,DNA/hAT,0.9261837,14338,False,True,False,False,False,True,True,True,False
hAT_95-aBufBuf#DNA/hAT,DNA/hAT,1,0,0.99302673,DNA/PIF-Harbinger,0.53978026,0,0.5259264,DNA/hAT,0.6252949,9034,True,True,False,False,False,True,False,True,False
TcMar-Tc1_18-fHypImm#DNA/TcMar-Tc1,None,0,1,0.99298686,DNA/TcMar-Tc1,0.78338593,1,0.9998665,DNA/TcMar-Tc1,0.914293,1637,False,True,False,False,False,True,True,True,False
hAT_335-aMixFle#DNA/hAT,None,0,1,0.9929483,DNA/hAT,0.55115074,1,0.98711175,DNA/hAT,0.91688937,6970,False,True,False,False,False,True,True,True,False
TcMar-Tc1_55-kTriCli#DNA/TcMar-Tc1,None,0,1,0.99291164,DNA/TcMar-Tc1,0.85697067,1,0.9998926,DNA/TcMar-Tc1,0.91020525,1000,False,True,False,False,False,True,True,True,False
hAT_19-aSpeBom#DNA/hAT,None,0,1,0.99288625,DNA/hAT,0.7679915,1,0.9999641,DNA/hAT,0.9231412,12335,False,True,False,False,False,True,True,True,False
hAT_1-aSpeBom#DNA/hAT,None,0,1,0.9928767,DNA/hAT,0.7622963,1,0.99996364,DNA/hAT,0.9213997,12599,False,True,False,False,False,True,True,True,False
TcMar-Tc1_6-fMicKit#DNA/TcMar-Tc1,None,0,1,0.9928519,DNA/TcMar-Tc1,0.6684587,1,0.9998553,DNA/TcMar-Tc1,0.9245122,2500,False,True,False,False,False,True,True,True,False
Unknown_41-rPodMur#DNA/hAT,None,0,1,0.9926702,DNA/hAT,0.78533584,1,0.98161453,DNA/hAT,0.91470593,1410,False,True,False,False,False,True,True,True,False
TcMar-Tc1_20-fScaEry#DNA/TcMar-Tc1,None,0,1,0.99256635,DNA/TcMar-Tc1,0.76113683,1,0.9993924,DNA/TcMar-Tc1,0.9222194,2472,False,True,False,False,False,True,True,True,False
hAT_31-aMixFle#DNA/hAT,None,0,1,0.9923815,DNA/hAT,0.7767341,1,0.991746,DNA/hAT,0.91630596,5320,False,True,False,False,False,True,True,True,False
TcMar-Tc1_6-fOsmEpe#DNA/TcMar-Tc1,None,0,1,0.99229604,DNA/TcMar-Tc1,0.7874899,1,0.9998927,DNA/TcMar-Tc1,0.9177485,1605,False,True,False,False,False,True,True,True,False
hAT_2-aSpeBom#DNA/hAT,None,0,1,0.99227786,DNA/hAT,0.77270377,1,0.99996054,DNA/hAT,0.9232368,11681,False,True,False,False,False,True,True,True,False
PiggyBac_39-aPelLes#DNA/PiggyBac,None,0,1,0.99217826,DNA/PiggyBac,0.85731816,1,0.99118197,DNA/PiggyBac,0.9154857,9021,False,True,False,False,False,True,True,True,False
hAT_166-aRanTem#DNA/hAT,None,0,1,0.99213564,DNA/hAT,0.6666067,1,0.9998301,DNA/hAT,0.92276615,5768,False,True,False,False,False,True,True,True,False
hAT_204-fNotRos#DNA/hAT,None,0,1,0.9921016,DNA/hAT,0.865517,1,0.99992955,DNA/hAT,0.91787857,926,False,True,False,False,False,True,True,True,False
PiggyBac_49-aPelLes#DNA/PiggyBac,None,0,1,0.99186826,DNA/PiggyBac,0.864641,1,0.9961289,DNA/PiggyBac,0.91927344,8195,False,True,False,False,False,True,True,True,False
Unknown_86-rPodErh#DNA/hAT,None,0,1,0.9918181,DNA/hAT,0.718602,1,0.99997187,DNA/hAT,0.92402637,1629,False,True,False,False,False,True,True,True,False
hAT_362-aMixFle#DNA/hAT,None,0,1,0.991779,DNA/hAT,0.7770829,1,0.9870006,DNA/hAT,0.9167704,6820,False,True,False,False,False,True,True,True,False
hAT_519-aMixFle#DNA/hAT,None,0,1,0.9917705,DNA/hAT,0.7622901,1,0.9930515,DNA/hAT,0.9162045,5620,False,True,False,False,False,True,True,True,False
TcMar-Tc1_12-fAciRut#DNA/TcMar-Tc1,None,0,1,0.9917652,DNA/TcMar-Tc1,0.73510265,1,0.9998914,DNA/TcMar-Tc1,0.91834635,1696,False,True,False,False,False,True,True,True,False
hAT_2-aMixFle#DNA/hAT,None,0,1,0.9916732,DNA/hAT,0.74663365,1,0.990386,DNA/hAT,0.916054,5464,False,True,False,False,False,True,True,True,False
PiggyBac_31-aBomVar#DNA/PiggyBac,None,0,1,0.99166954,DNA/PiggyBac,0.9544686,1,0.7343007,DNA/PiggyBac,0.90836155,9974,False,True,False,False,False,True,True,True,False
Academ-1_166-kMyxGlu#DNA/Academ-1,None,0,1,0.99148154,DNA/Academ-1,0.9297731,1,0.9999995,DNA/Academ-1,0.9243539,4685,False,True,False,False,False,True,True,True,False
hAT_712-aRhiDor#DNA/hAT,None,0,1,0.99143106,DNA/hAT,0.7274731,1,0.993435,DNA/hAT,0.91340137,7262,False,True,False,False,False,True,True,True,False
hAT_450-aMixFle#DNA/hAT,None,0,1,0.9913412,DNA/hAT,0.77759063,1,0.98989666,DNA/hAT,0.91646224,6020,False,True,False,False,False,True,True,True,False
hAT_258-aRhiDor#DNA/hAT,None,0,1,0.9913105,DNA/hAT,0.71380717,1,0.9098763,DNA/hAT,0.92640513,8069,False,True,False,False,False,True,True,True,False
Unknown_197-fAstCal#DNA,None,0,1,0.991305,DNA/TcMar-Tc1,0.58251196,1,0.9842169,DNA/TcMar-Tc1,0.903361,962,False,True,False,False,False,True,True,True,False
hAT_35-aMixFle#DNA/hAT,None,0,1,0.9912288,DNA/hAT,0.7380191,1,0.9913635,DNA/hAT,0.9159317,5264,False,True,False,False,False,True,True,True,False
hAT_444-aMixFle#DNA/hAT,None,0,1,0.991063,DNA/hAT,0.7761692,1,0.98850435,DNA/hAT,0.91648227,6056,False,True,False,False,False,True,True,True,False
TcMar-Tc1_46-fAciRut#DNA/TcMar-Tc1,None,0,1,0.99102706,DNA/TcMar-Tc1,0.7147449,1,0.99990904,DNA/TcMar-Tc1,0.91776764,1608,False,True,False,False,False,True,True,True,False
Unknown_254-fHypImm#DNA,None,0,1,0.99087626,DNA/TcMar-Tc1,0.78644544,1,0.99981076,DNA/TcMar-Tc1,0.9079253,870,False,True,False,False,False,True,True,True,False
Academ-1_150-kMyxGlu#DNA/Academ-1,None,0,1,0.99086845,DNA/Academ-1,0.93751055,1,0.9999995,DNA/Academ-1,0.9237782,4859,False,True,False,False,False,True,True,True,False
hAT_443-aMixFle#DNA/hAT,None,0,1,0.9908421,DNA/hAT,0.76396,1,0.9885244,DNA/hAT,0.91644514,6056,False,True,False,False,False,True,True,True,False
TcMar-Tc1_79-fCorLav#DNA/TcMar-Tc1,None,0,1,0.9908275,DNA/TcMar-Tc1,0.7523329,1,0.9998846,DNA/TcMar-Tc1,0.920257,1577,False,True,False,False,False,True,True,True,False
Unknown_337-fSarPil#DNA,None,0,1,0.990816,DNA/TcMar-Tc1,0.789258,1,0.99988127,DNA/TcMar-Tc1,0.92237633,1521,False,True,False,False,False,True,True,True,False
hAT_615-aRhiDor#DNA/hAT,None,0,1,0.9907589,DNA/hAT,0.7316775,1,0.9833799,DNA/hAT,0.9137483,7429,False,True,False,False,False,True,True,True,False
hAT_704-aRhiDor#DNA/hAT,None,0,1,0.9906791,DNA/hAT,0.7340164,1,0.9744673,DNA/hAT,0.9141828,7275,False,True,False,False,False,True,True,True,False
hAT_323-aMixFle#DNA/hAT,None,0,1,0.9904974,DNA/hAT,0.7661315,1,0.98343915,DNA/hAT,0.9168889,7056,False,True,False,False,False,True,True,True,False
hAT_880-aRhiDor#DNA/hAT,None,0,1,0.99048305,DNA/hAT,0.7123585,1,0.91021246,DNA/hAT,0.9257155,6939,False,True,False,False,False,True,True,True,False
hAT_27-fMelGel#DNA/hAT,None,0,1,0.9904665,DNA/hAT,0.72078806,1,0.9999666,DNA/hAT,0.91627526,1187,False,True,False,False,False,True,True,True,False
hAT_311-aMixFle#DNA/hAT,None,0,1,0.9903673,DNA/hAT,0.7678993,1,0.97472024,DNA/hAT,0.91695684,7160,False,True,False,False,False,True,True,True,False
hAT_3-aSpeBom#DNA/hAT,None,0,1,0.99036,DNA/hAT,0.7668982,1,0.9999536,DNA/hAT,0.92275834,11407,False,True,False,False,False,True,True,True,False
hAT_298-aMixFle#DNA/hAT,None,0,1,0.9901906,DNA/hAT,0.7736372,1,0.97487295,DNA/hAT,0.9170642,7260,False,True,False,False,False,True,True,True,False
hAT_552-aRhiDor#DNA/hAT,None,0,1,0.99017006,DNA/hAT,0.69907606,1,0.90803266,DNA/hAT,0.92601585,7504,False,True,False,False,False,True,True,True,False
hAT_538-aMixFle#DNA/hAT,None,0,1,0.9901654,DNA/hAT,0.76941365,1,0.9869708,DNA/hAT,0.91589236,5545,False,True,False,False,False,True,True,True,False
TcMar-Tc1_21-fLeuLeu#DNA/TcMar-Tc1,None,0,1,0.9901142,DNA/TcMar-Tc1,0.78600645,1,0.9999043,DNA/TcMar-Tc1,0.91823494,1634,False,True,False,False,False,True,True,True,False
TcMar-Tc1_9-fErpCal#DNA/TcMar-Tc1,None,0,1,0.9899553,DNA/TcMar-Tc1,0.8035242,1,0.9998714,DNA/TcMar-Tc1,0.9185412,1695,False,True,False,False,False,True,True,True,False
hAT_509-aMixFle#DNA/hAT,None,0,1,0.98993766,DNA/hAT,0.78123975,1,0.98594993,DNA/hAT,0.91642797,5660,False,True,False,False,False,True,True,True,False
hAT_22-aMixFle#DNA/hAT,None,0,1,0.98992354,DNA/hAT,0.7689136,1,0.9859319,DNA/hAT,0.9160595,5364,False,True,False,False,False,True,True,True,False
hAT_46-aManAur#DNA/hAT,None,0,1,0.98988414,DNA/hAT,0.7914335,1,0.9972596,DNA/hAT,0.91323143,7260,False,True,False,False,False,True,True,True,False
hAT_826-aRhiDor#DNA/hAT,None,0,1,0.989883,DNA/hAT,0.7449111,1,0.95530874,DNA/hAT,0.917391,7048,False,True,False,False,False,True,True,True,False
hAT_573-aRhiDor#DNA/hAT,None,0,1,0.98985404,DNA/hAT,0.7253884,1,0.9737038,DNA/hAT,0.91511124,7478,False,True,False,False,False,True,True,True,False
hAT_787-aRhiDor#DNA/hAT,None,0,1,0.9898291,DNA/hAT,0.7256701,1,0.9985411,DNA/hAT,0.91251993,10541,False,True,False,False,False,True,True,True,False
Unknown_35-rGopFla#DNA,None,0,1,0.9898169,DNA,0.84740996,1,0.9999503,DNA,0.9117277,1019,False,True,False,False,False,True,True,True,False
hAT_881-aRhiDor#DNA/hAT,None,0,1,0.989758,DNA/hAT,0.74276626,1,0.9115932,DNA/hAT,0.925586,6936,False,True,False,False,False,True,True,True,False
Academ-1_269-kMyxGlu#DNA/Academ-1,None,0,1,0.98969054,DNA/Academ-1,0.7436224,1,0.9999918,DNA/Academ-1,0.92656,3813,False,True,False,False,False,True,True,True,False
Unknown_44-rPodMel#DNA/hAT,None,0,1,0.9896707,DNA/hAT,0.8833781,1,0.9999068,DNA/hAT,0.91824895,1001,False,True,False,False,False,True,True,True,False
hAT_599-aRhiDor#DNA/hAT,None,0,1,0.98957926,DNA/hAT,0.7340305,1,0.9179772,DNA/hAT,0.92581284,9089,False,True,False,False,False,True,True,True,False
hAT_537-aMixFle#DNA/hAT,None,0,1,0.9895237,DNA/hAT,0.6249617,1,0.9876823,DNA/hAT,0.9158964,5548,False,True,False,False,False,True,True,True,False
hAT_652-aRhiDor#DNA/hAT,None,0,1,0.9895018,DNA/hAT,0.72289836,1,0.96715945,DNA/hAT,0.9154521,7359,False,True,False,False,False,True,True,True,False
TcMar-Tc1_74-kMyxGlu#DNA/TcMar-Tc1,None,0,1,0.9894845,DNA/TcMar-Tc1,0.8136468,1,0.9998822,DNA/TcMar-Tc1,0.9155627,1330,False,True,False,False,False,True,True,True,False
hAT_50-aRhiDor#DNA/hAT,None,0,1,0.98948425,DNA/hAT,0.7241339,1,0.9094906,DNA/hAT,0.9268,6252,False,True,False,False,False,True,True,True,False
Academ-1_130-kMyxGlu#DNA/Academ-1,None,0,1,0.98947173,DNA/Academ-1,0.8899497,1,0.999998,DNA/Academ-1,0.92681766,5144,False,True,False,False,False,True,True,True,False
hAT_470-aRhiDor#DNA/hAT,None,0,1,0.9893891,DNA/hAT,0.736986,1,0.9920649,DNA/hAT,0.9134974,7711,False,True,False,False,False,True,True,True,False
hAT_6-aMixFle#DNA/hAT,None,0,1,0.9893407,DNA/hAT,0.7907252,1,0.99065936,DNA/hAT,0.91645736,5456,False,True,False,False,False,True,True,True,False
hAT_842-aRhiDor#DNA/hAT,None,0,1,0.98924506,DNA/hAT,0.735842,1,0.991852,DNA/hAT,0.9137693,7032,False,True,False,False,False,True,True,True,False
hAT_423-aRhiDor#DNA/hAT,None,0,1,0.98919386,DNA/hAT,0.595127,1,0.9962471,DNA/hAT,0.91340554,7821,False,True,False,False,False,True,True,True,False
hAT_634-aRhiDor#DNA/hAT,None,0,1,0.9890498,DNA/hAT,0.7227318,1,0.92473,DNA/hAT,0.92483443,7389,False,True,False,False,False,True,True,True,False
hAT_864-aRhiDor#DNA/hAT,None,0,1,0.98901504,DNA/hAT,0.7186663,1,0.95628333,DNA/hAT,0.9177683,6977,False,True,False,False,False,True,True,True,False
hAT_56-rDibSmi#Unknown,None,0,1,0.98900044,DNA,0.5311631,1,0.9990582,DNA,0.915622,1779,False,True,False,False,False,True,True,True,False
TcMar-Tc1_9-fAciRut#DNA/TcMar-Tc1,None,0,1,0.9889492,DNA/TcMar-Tc1,0.63158333,1,0.9999119,DNA/TcMar-Tc1,0.9173328,1705,False,True,False,False,False,True,True,True,False
PiggyBac_39-aBomVar#DNA/PiggyBac,None,0,1,0.9889221,DNA/PiggyBac,0.95427436,1,0.76511097,DNA/PiggyBac,0.93930143,9193,False,True,False,False,False,True,True,True,False
hAT_536-aMixFle#DNA/hAT,None,0,1,0.98891336,DNA/hAT,0.7833148,1,0.989776,DNA/hAT,0.9161932,5552,False,True,False,False,False,True,True,True,False
Unknown_341-fSarPil#DNA,None,0,1,0.9888826,DNA/TcMar-Tc1,0.8094518,1,0.99989235,DNA/TcMar-Tc1,0.92292595,1511,False,True,False,False,False,True,True,True,False
hAT_111-aRhiDor#DNA/hAT,None,0,1,0.98887503,DNA/hAT,0.7095206,1,0.94866854,DNA/hAT,0.9191467,6027,False,True,False,False,False,True,True,True,False
Unknown_349-fSarPil#DNA,None,0,1,0.9888736,DNA/TcMar-Tc1,0.64148414,1,0.9985032,DNA,0.9047067,1500,False,True,False,False,False,True,True,True,False
hAT_622-aRhiDor#DNA/hAT,None,0,1,0.98884565,DNA/hAT,0.7126694,1,0.9963665,DNA/hAT,0.91336656,7414,False,True,False,False,False,True,True,True,False
hAT_511-aMixFle#DNA/hAT,None,0,1,0.98883843,DNA/hAT,0.7855107,1,0.9899546,DNA/hAT,0.9165108,5656,False,True,False,False,False,True,True,True,False
